filename	indel	silent	synonimous	nonsynonimous
Feature:4.afa	6	0	5	23
Feature:873.afa	4	0	2	6
Feature:398.afa	5	0	4	14
Feature:457.afa	4	0	2	13
Feature:193.afa	2	0	0	5
Feature:432.afa	71	0	39	281
Feature:137.afa	7	0	2	24
Feature:65.afa	6	0	1	10
Feature:852.afa	4	0	3	20
Feature:742.afa	3	0	0	8
Feature:601.afa	4	0	2	13
Feature:177.afa	0	0	1	16
Feature:377.afa	13	0	2	44
Feature:259.afa	31	0	11	132
Feature:572.afa	6	0	2	19
Feature:857.afa	5	0	0	9
Feature:819.afa	86	0	48	368
Feature:677.afa	5	0	0	1
Feature:347.afa	11	0	4	39
Feature:221.afa	0	0	1	12
Feature:202.afa	3	0	0	17
Feature:271.afa	13	0	7	40
Feature:892.afa	4	0	2	16
Feature:617.afa	11	0	3	28
Feature:112.afa	5	0	2	17
Feature:61.afa	4	0	2	14
Feature:547.afa	5	0	2	14
Feature:497.afa	15	0	5	33
Feature:842.afa	16	0	11	70
Feature:475.afa	8	0	3	26
Feature:263.afa	187	0	98	776
Feature:325.afa	113	0	39	460
Feature:441.afa	5	0	7	9
Feature:851.afa	4	0	3	20
Feature:287.afa	48	0	24	226
Feature:400.afa	12	0	6	34
Feature:692.afa	22	0	13	90
Feature:565.afa	2	0	0	9
Feature:781.afa	24	0	18	126
Feature:789.afa	6	0	5	20
Feature:720.afa	3	0	2	15
Feature:612.afa	10	0	3	20
Feature:63.afa	4	0	1	15
Feature:7.afa	9	0	4	18
Feature:170.afa	6	0	3	19
Feature:387.afa	5	0	2	27
Feature:452.afa	11	0	4	47
Feature:800.afa	3	0	1	14
Feature:772.afa	54	0	19	213
Feature:421.afa	20	0	7	46
Feature:682.afa	2	0	0	0
Feature:826.afa	5	0	0	19
Feature:834.afa	0	0	0	336
Feature:727.afa	11	0	3	41
Feature:133.afa	11	0	5	34
Feature:839.afa	33	0	17	147
Feature:641.afa	3	0	1	9
Feature:335.afa	27	0	12	102
Feature:350.afa	5	0	3	15
Feature:823.afa	3	0	0	4
Feature:372.afa	4	0	3	8
Feature:872.afa	0	0	1	13
Feature:326.afa	113	0	39	460
Feature:733.afa	53	0	29	172
Feature:149.afa	7	0	2	9
Feature:811.afa	35	0	24	112
Feature:463.afa	11	0	8	71
Feature:594.afa	5	0	1	17
Feature:430.afa	3	0	0	3
Feature:317.afa	10	0	8	32
Feature:509.afa	2	0	2	9
Feature:518.afa	15	0	4	43
Feature:737.afa	3	0	1	3
Feature:183.afa	88	0	59	318
Feature:784.afa	15	0	4	46
Feature:71.afa	42	0	16	138
Feature:403.afa	29	0	9	82
Feature:80.afa	11	0	3	30
Feature:652.afa	12	0	4	30
Feature:744.afa	2	0	1	10
Feature:645.afa	2	0	2	27
Feature:861.afa	179	0	105	636
Feature:416.afa	22	0	15	84
Feature:722.afa	3	0	1	9
Feature:671.afa	43	0	21	124
Feature:369.afa	27	0	11	80
Feature:307.afa	4	0	0	6
Feature:609.afa	8	0	1	15
Feature:849.afa	4	0	1	11
Feature:222.afa	0	0	1	12
Feature:232.afa	7	0	2	18
Feature:345.afa	128	0	86	550
Feature:169.afa	6	0	3	19
Feature:21.afa	7	0	3	18
Feature:856.afa	2	0	3	7
Feature:668.afa	4	0	3	7
Feature:643.afa	2	0	0	9
Feature:779.afa	5	0	4	19
Feature:93.afa	60	0	29	185
Feature:886.afa	13	0	6	36
Feature:26.afa	3	0	1	21
Feature:566.afa	2	0	0	9
Feature:567.afa	10	0	8	39
Feature:695.afa	113	0	73	449
Feature:846.afa	0	0	0	61
Feature:275.afa	6	0	1	19
Feature:185.afa	4	0	1	7
Feature:454.afa	9	0	2	29
Feature:155.afa	22	0	9	79
Feature:229.afa	19	0	11	98
Feature:723.afa	8	0	2	24
Feature:803.afa	9	0	6	31
Feature:28.afa	12	0	7	23
Feature:382.afa	0	0	0	13
Feature:655.afa	2	0	0	3
Feature:411.afa	26	0	19	127
Feature:29.afa	40	0	21	154
Feature:174.afa	4	0	0	7
Feature:586.afa	7	0	6	34
Feature:540.afa	7	0	2	37
Feature:70.afa	17	0	13	78
Feature:41.afa	10	0	9	35
Feature:113.afa	17	0	8	62
Feature:244.afa	2	0	1	16
Feature:815.afa	15	0	8	71
Feature:714.afa	4	0	1	11
Feature:148.afa	4	0	0	15
Feature:361.afa	9	0	4	28
Feature:106.afa	3	0	0	6
Feature:455.afa	82	0	39	313
Feature:810.afa	10	0	5	22
Feature:616.afa	6	0	1	15
Feature:748.afa	7	0	4	17
Feature:227.afa	29	0	20	136
Feature:359.afa	2	0	1	8
Feature:310.afa	3	0	0	9
Feature:578.afa	3	0	0	8
Feature:494.afa	3	0	0	9
Feature:90.afa	2	0	2	8
Feature:321.afa	9	0	2	30
Feature:98.afa	100	0	56	401
Feature:2.afa	15	0	9	75
Feature:419.afa	10	0	3	48
Feature:765.afa	31	0	22	91
Feature:580.afa	7	0	3	19
Feature:77.afa	19	0	12	87
Feature:376.afa	42	0	16	150
Feature:830.afa	4	0	2	14
Feature:693.afa	8	0	1	17
Feature:378.afa	13	0	2	44
Feature:563.afa	3	0	2	16
Feature:217.afa	4	0	0	14
Feature:556.afa	8	0	5	24
Feature:69.afa	17	0	13	78
Feature:605.afa	3	0	0	13
Feature:281.afa	7	0	2	56
Feature:533.afa	0	0	0	32
Feature:510.afa	2	0	2	9
Feature:700.afa	6	0	1	16
Feature:95.afa	60	0	29	185
Feature:308.afa	4	0	0	6
Feature:465.afa	51	0	31	219
Feature:505.afa	6	0	3	23
Feature:253.afa	4	0	0	8
Feature:719.afa	3	0	2	15
Feature:850.afa	4	0	1	11
Feature:637.afa	8	0	2	17
Feature:646.afa	2	0	2	27
Feature:705.afa	3	0	0	13
Feature:818.afa	18	0	8	82
Feature:254.afa	4	0	0	8
Feature:422.afa	20	0	7	46
Feature:582.afa	4	0	2	13
Feature:898.afa	5	0	0	16
Feature:771.afa	54	0	19	213
Feature:264.afa	187	0	98	776
Feature:702.afa	4	0	4	13
Feature:453.afa	9	0	2	29
Feature:785.afa	4	0	1	21
Feature:752.afa	4	0	3	15
Feature:404.afa	29	0	9	82
Feature:117.afa	6	0	4	27
Feature:225.afa	8	0	2	20
Feature:758.afa	7	0	1	26
Feature:451.afa	11	0	4	47
Feature:351.afa	5	0	4	10
Feature:908.afa	15	0	3	59
Feature:888.afa	114	0	81	517
Feature:715.afa	5	0	9	10
Feature:402.afa	129	0	72	462
Feature:337.afa	0	0	0	73
Feature:358.afa	0	0	1	13
Feature:728.afa	11	0	3	41
Feature:721.afa	3	0	1	9
Feature:312.afa	6	0	1	20
Feature:208.afa	38	0	12	139
Feature:906.afa	5	0	2	11
Feature:688.afa	42	0	22	172
Feature:102.afa	8	0	7	22
Feature:203.afa	24	0	21	101
Feature:899.afa	5	0	2	29
Feature:8.afa	9	0	4	18
Feature:889.afa	21	0	18	105
Feature:156.afa	22	0	9	79
Feature:732.afa	0	0	1	16
Feature:894.afa	6	0	1	17
Feature:866.afa	6	0	2	5
Feature:34.afa	58	0	37	216
Feature:375.afa	42	0	16	150
Feature:328.afa	0	0	0	67
Feature:320.afa	24	0	15	119
Feature:79.afa	11	0	3	30
Feature:763.afa	25	0	17	89
Feature:751.afa	4	0	3	15
Feature:373.afa	41	0	27	194
Feature:650.afa	6	0	1	7
Feature:897.afa	5	0	0	16
Feature:684.afa	13	0	2	45
Feature:189.afa	22	0	11	89
Feature:406.afa	39	0	15	132
Feature:477.afa	15	0	10	59
Feature:450.afa	4	0	1	11
Feature:726.afa	138	0	68	472
Feature:860.afa	21	0	9	67
Feature:531.afa	0	0	0	48
Feature:762.afa	73	0	41	266
Feature:787.afa	148	0	85	614
Feature:3.afa	6	0	5	23
Feature:519.afa	13	0	4	62
Feature:694.afa	8	0	1	17
Feature:277.afa	0	0	0	242
Feature:284.afa	0	0	0	133
Feature:870.afa	6	0	1	22
Feature:207.afa	38	0	12	139
Feature:120.afa	111	0	41	449
Feature:86.afa	13	0	7	30
Feature:712.afa	3	0	2	6
Feature:87.afa	2	0	0	16
Feature:168.afa	152	0	80	619
Feature:602.afa	4	0	2	13
Feature:882.afa	5	0	0	9
Feature:84.afa	68	0	36	333
Feature:138.afa	7	0	2	24
Feature:581.afa	4	0	2	13
Feature:139.afa	7	0	2	18
Feature:356.afa	3	0	1	8
Feature:649.afa	6	0	1	7
Feature:192.afa	5	0	1	13
Feature:676.afa	3	0	1	3
Feature:470.afa	96	0	43	427
Feature:44.afa	45	0	28	181
Feature:447.afa	17	0	6	43
Feature:484.afa	9	0	6	41
Feature:536.afa	7	0	2	30
Feature:863.afa	10	0	6	30
Feature:900.afa	5	0	2	29
Feature:267.afa	41	0	20	159
Feature:431.afa	71	0	39	281
Feature:485.afa	76	0	46	341
Feature:161.afa	73	0	35	276
Feature:219.afa	7	0	3	14
Feature:544.afa	10	0	3	41
Feature:322.afa	9	0	2	30
Feature:136.afa	138	0	66	565
Feature:127.afa	20	0	10	55
Feature:131.afa	5	0	3	20
Feature:215.afa	4	0	0	15
Feature:730.afa	27	0	11	93
Feature:206.afa	14	0	6	50
Feature:482.afa	8	0	0	10
Feature:555.afa	8	0	5	24
Feature:770.afa	94	0	54	387
Feature:529.afa	8	0	3	34
Feature:332.afa	2	0	0	5
Feature:633.afa	9	0	4	58
Feature:297.afa	34	0	19	130
Feature:632.afa	72	0	37	321
Feature:902.afa	6	0	3	23
Feature:162.afa	73	0	35	276
Feature:527.afa	2	0	2	7
Feature:574.afa	8	0	3	35
Feature:318.afa	10	0	8	32
Feature:476.afa	8	0	3	26
Feature:496.afa	3	0	0	9
Feature:333.afa	9	0	5	52
Feature:552.afa	2	0	2	10
Feature:534.afa	0	0	0	32
Feature:362.afa	9	0	4	28
Feature:699.afa	6	0	1	16
Feature:504.afa	8	0	4	39
Feature:651.afa	12	0	4	30
Feature:464.afa	11	0	8	71
Feature:334.afa	9	0	5	52
Feature:348.afa	11	0	4	39
Feature:13.afa	2	0	0	1
Feature:409.afa	16	0	4	56
Feature:282.afa	7	0	2	56
Feature:104.afa	4	0	1	8
Feature:364.afa	2	0	0	5
Feature:313.afa	4	0	5	6
Feature:492.afa	8	0	4	32
Feature:242.afa	5	0	1	23
Feature:255.afa	4	0	1	11
Feature:248.afa	8	0	6	41
Feature:179.afa	3	0	2	12
Feature:619.afa	9	0	4	41
Feature:499.afa	102	0	41	392
Feature:239.afa	3	0	0	9
Feature:869.afa	6	0	1	22
Feature:443.afa	5	0	2	9
Feature:841.afa	16	0	11	70
Feature:486.afa	76	0	46	341
Feature:349.afa	5	0	3	15
Feature:487.afa	12	0	2	32
Feature:662.afa	4	0	0	5
Feature:405.afa	39	0	15	132
Feature:557.afa	6	0	1	27
Feature:878.afa	43	0	31	208
Feature:178.afa	0	0	1	16
Feature:629.afa	129	0	89	520
Feature:797.afa	8	0	4	14
Feature:448.afa	17	0	6	43
Feature:760.afa	12	0	5	84
Feature:507.afa	5	0	1	19
Feature:597.afa	6	0	4	18
Feature:828.afa	36	0	20	138
Feature:644.afa	2	0	0	9
Feature:35.afa	11	0	7	38
Feature:301.afa	3	0	1	18
Feature:864.afa	10	0	6	30
Feature:844.afa	212	0	120	868
Feature:445.afa	6	0	6	27
Feature:903.afa	5	0	2	19
Feature:686.afa	16	0	6	60
Feature:314.afa	4	0	5	6
Feature:559.afa	101	0	56	435
Feature:108.afa	5	0	2	11
Feature:890.afa	21	0	18	105
Feature:109.afa	4	0	1	11
Feature:20.afa	2	0	0	10
Feature:795.afa	2	0	0	8
Feature:58.afa	7	0	0	30
Feature:739.afa	9	0	2	29
Feature:635.afa	153	0	71	606
Feature:862.afa	179	0	105	636
Feature:231.afa	7	0	2	18
Feature:879.afa	13	0	11	35
Feature:704.afa	4	0	0	22
Feature:437.afa	226	0	105	884
Feature:56.afa	3	0	0	16
Feature:182.afa	11	0	5	34
Feature:495.afa	3	0	0	9
Feature:383.afa	0	0	0	73
Feature:664.afa	4	0	1	22
Feature:37.afa	0	0	1	10
Feature:240.afa	3	0	0	9
Feature:234.afa	108	0	58	452
Feature:548.afa	5	0	2	14
Feature:825.afa	5	0	0	19
Feature:50.afa	5	0	7	34
Feature:858.afa	5	0	0	9
Feature:469.afa	96	0	43	427
Feature:342.afa	0	0	0	20
Feature:707.afa	5	0	5	45
Feature:52.afa	4	0	4	20
Feature:368.afa	11	0	6	45
Feature:434.afa	33	0	12	103
Feature:262.afa	31	0	11	132
Feature:589.afa	41	0	15	156
Feature:467.afa	51	0	31	219
Feature:835.afa	0	0	0	336
Feature:78.afa	19	0	12	87
Feature:303.afa	109	0	61	476
Feature:526.afa	95	0	50	327
Feature:306.afa	6	0	5	23
Feature:891.afa	4	0	2	16
Feature:840.afa	33	0	17	147
Feature:821.afa	21	0	10	88
Feature:883.afa	4	0	1	4
Feature:508.afa	5	0	1	19
Feature:249.afa	150	0	95	521
Feature:813.afa	35	0	21	175
Feature:759.afa	12	0	5	84
Feature:640.afa	4	0	3	26
Feature:82.afa	0	0	0	241
Feature:9.afa	37	0	18	131
Feature:46.afa	45	0	28	181
Feature:154.afa	119	0	59	474
Feature:5.afa	45	0	25	158
Feature:366.afa	127	0	56	510
Feature:89.afa	2	0	2	8
Feature:385.afa	106	0	68	472
Feature:471.afa	4	0	3	14
Feature:62.afa	4	0	2	14
Feature:324.afa	15	0	10	71
Feature:794.afa	3	0	0	7
Feature:352.afa	5	0	4	10
Feature:816.afa	15	0	8	71
Feature:164.afa	36	0	24	147
Feature:42.afa	10	0	9	35
Feature:0.afa	3	0	2	6
Feature:798.afa	8	0	4	14
Feature:418.afa	206	0	137	836
Feature:778.afa	28	0	11	113
Feature:756.afa	27	0	15	159
Feature:238.afa	2	0	2	9
Feature:479.afa	7	0	2	29
Feature:703.afa	4	0	0	22
Feature:200.afa	2	0	1	3
Feature:64.afa	4	0	1	15
Feature:251.afa	9	0	9	41
Feature:85.afa	13	0	7	30
Feature:423.afa	41	0	17	162
Feature:577.afa	3	0	0	8
Feature:392.afa	3	0	1	8
Feature:658.afa	5	0	5	32
Feature:18.afa	3	0	0	8
Feature:520.afa	13	0	4	62
Feature:298.afa	34	0	19	130
Feature:874.afa	4	0	2	6
Feature:675.afa	3	0	1	3
Feature:258.afa	0	0	0	68
Feature:11.afa	124	0	76	481
Feature:512.afa	7	0	2	21
Feature:311.afa	6	0	1	20
Feature:690.afa	7	0	3	15
Feature:680.afa	2	0	0	0
Feature:796.afa	2	0	0	8
Feature:788.afa	148	0	85	614
Feature:672.afa	43	0	21	124
Feature:820.afa	86	0	48	368
Feature:774.afa	9	0	6	40
Feature:43.afa	45	0	28	181
Feature:36.afa	11	0	7	38
Feature:749.afa	3	0	1	13
Feature:210.afa	308	0	170	1253
Feature:176.afa	7	0	3	15
Feature:153.afa	119	0	59	474
Feature:150.afa	7	0	2	9
Feature:833.afa	0	0	0	336
Feature:683.afa	13	0	2	45
Feature:539.afa	7	0	2	37
Feature:506.afa	6	0	3	23
Feature:408.afa	16	0	8	34
Feature:661.afa	4	0	0	5
Feature:158.afa	15	0	9	74
Feature:260.afa	31	0	11	132
Feature:829.afa	4	0	2	14
Feature:550.afa	8	0	1	18
Feature:436.afa	19	0	10	112
Feature:274.afa	25	0	6	318
Feature:624.afa	121	0	57	415
Feature:396.afa	5	0	4	7
Feature:880.afa	13	0	11	35
Feature:339.afa	0	0	0	13
Feature:395.afa	5	0	4	7
Feature:530.afa	8	0	3	34
Feature:865.afa	6	0	2	5
Feature:327.afa	0	0	0	67
Feature:196.afa	21	0	10	127
Feature:596.afa	3	0	3	19
Feature:173.afa	4	0	0	7
Feature:191.afa	5	0	1	13
Feature:603.afa	32	0	19	127
Feature:285.afa	0	0	0	152
Feature:523.afa	97	0	51	434
Feature:805.afa	99	0	55	399
Feature:107.afa	5	0	2	11
Feature:884.afa	4	0	1	4
Feature:654.afa	127	0	79	503
Feature:817.afa	18	0	8	82
Feature:25.afa	3	0	1	21
Feature:280.afa	7	0	3	759
Feature:54.afa	4	0	4	32
Feature:220.afa	7	0	3	14
Feature:425.afa	105	0	49	389
Feature:121.afa	4	0	3	11
Feature:642.afa	3	0	1	9
Feature:488.afa	12	0	2	32
Feature:114.afa	17	0	8	62
Feature:514.afa	8	0	1	30
Feature:47.afa	120	0	84	507
Feature:299.afa	27	0	16	82
Feature:741.afa	3	0	0	8
Feature:717.afa	3	0	2	9
Feature:663.afa	4	0	1	22
Feature:627.afa	80	0	35	295
Feature:175.afa	7	0	3	15
Feature:245.afa	4	0	1	20
Feature:731.afa	0	0	1	16
Feature:608.afa	4	0	2	17
Feature:553.afa	4	0	1	7
Feature:522.afa	37	0	23	152
Feature:480.afa	7	0	2	29
Feature:802.afa	6	0	3	16
Feature:502.afa	3	0	2	7
Feature:319.afa	24	0	15	119
Feature:278.afa	0	0	0	242
Feature:743.afa	2	0	1	10
Feature:6.afa	45	0	25	158
Feature:462.afa	4	0	0	23
Feature:807.afa	43	0	21	182
Feature:670.afa	12	0	6	43
Feature:595.afa	3	0	3	19
Feature:27.afa	12	0	7	23
Feature:634.afa	9	0	4	58
Feature:446.afa	6	0	6	27
Feature:598.afa	6	0	4	18
Feature:568.afa	10	0	8	39
Feature:132.afa	5	0	3	20
Feature:424.afa	41	0	17	162
Feature:660.afa	0	0	2	12
Feature:867.afa	3	0	2	10
Feature:141.afa	3	0	1	9
Feature:294.afa	7	0	0	21
Feature:75.afa	43	0	23	131
Feature:115.afa	4	0	2	16
Feature:236.afa	5	0	2	28
Feature:151.afa	0	0	0	61
Feature:887.afa	114	0	81	517
Feature:426.afa	105	0	49	389
Feature:60.afa	6	0	3	14
Feature:790.afa	6	0	5	20
Feature:315.afa	7	0	1	11
Feature:83.afa	68	0	36	333
Feature:735.afa	151	0	70	572
Feature:472.afa	4	0	3	14
Feature:292.afa	29	0	13	126
Feature:708.afa	5	0	5	45
Feature:697.afa	10	0	5	38
Feature:483.afa	9	0	6	41
Feature:140.afa	7	0	2	18
Feature:143.afa	0	0	2	12
Feature:855.afa	2	0	3	7
Feature:804.afa	9	0	6	31
Feature:204.afa	24	0	21	101
Feature:461.afa	4	0	0	23
Feature:729.afa	27	0	11	93
Feature:442.afa	5	0	7	9
Feature:389.afa	4	0	4	5
Feature:768.afa	189	0	113	707
Feature:214.afa	4	0	2	9
Feature:738.afa	3	0	1	3
Feature:237.afa	2	0	2	9
Feature:710.afa	7	0	3	24
Feature:414.afa	2	0	0	23
Feature:689.afa	7	0	3	15
Feature:549.afa	8	0	1	18
Feature:625.afa	12	0	8	33
Feature:827.afa	36	0	20	138
Feature:391.afa	3	0	1	8
Feature:157.afa	15	0	9	74
Feature:101.afa	8	0	7	22
Feature:305.afa	6	0	5	23
Feature:224.afa	2	0	0	7
Feature:440.afa	4	0	1	17
Feature:67.afa	4	0	3	18
Feature:14.afa	2	0	0	1
Feature:895.afa	9	0	2	38
Feature:524.afa	97	0	51	434
Feature:854.afa	3	0	0	8
Feature:413.afa	2	0	0	23
Feature:252.afa	9	0	9	41
Feature:270.afa	18	0	6	48
Feature:152.afa	0	0	0	61
Feature:22.afa	7	0	3	18
Feature:716.afa	5	0	9	10
Feature:808.afa	43	0	21	182
Feature:357.afa	0	0	1	13
Feature:575.afa	4	0	0	8
Feature:570.afa	156	0	94	707
Feature:184.afa	88	0	59	318
Feature:584.afa	5	0	3	13
Feature:653.afa	127	0	79	503
Feature:513.afa	8	0	1	30
Feature:180.afa	3	0	2	12
Feature:381.afa	0	0	0	13
Feature:667.afa	4	0	3	7
Feature:33.afa	58	0	37	216
Feature:791.afa	6	0	2	15
Feature:330.afa	5	0	2	10
Feature:187.afa	4	0	1	13
Feature:600.afa	2	0	2	18
Feature:371.afa	4	0	3	8
Feature:163.afa	36	0	24	147
Feature:429.afa	3	0	0	3
Feature:648.afa	3	0	0	11
Feature:718.afa	3	0	2	9
Feature:750.afa	3	0	1	13
Feature:289.afa	48	0	24	226
Feature:212.afa	11	0	6	38
Feature:498.afa	15	0	5	33
Feature:12.afa	124	0	76	481
Feature:171.afa	3	0	1	5
Feature:885.afa	13	0	6	36
Feature:458.afa	4	0	2	13
Feature:659.afa	0	0	2	12
Feature:336.afa	27	0	12	102
Feature:211.afa	11	0	6	38
Feature:125.afa	7	0	3	32
Feature:45.afa	45	0	28	181
Feature:111.afa	5	0	2	17
Feature:801.afa	6	0	3	16
Feature:709.afa	7	0	3	24
Feature:97.afa	100	0	56	401
Feature:302.afa	3	0	1	18
Feature:630.afa	129	0	89	520
Feature:10.afa	37	0	18	131
Feature:269.afa	18	0	6	48
Feature:478.afa	15	0	10	59
Feature:291.afa	29	0	13	126
Feature:341.afa	0	0	0	20
Feature:295.afa	10	0	4	88
Feature:363.afa	2	0	0	5
Feature:569.afa	156	0	94	707
Feature:806.afa	99	0	55	399
Feature:384.afa	0	0	0	73
Feature:859.afa	21	0	9	67
Feature:88.afa	2	0	0	16
Feature:799.afa	3	0	1	14
Feature:73.afa	42	0	16	138
Feature:188.afa	4	0	1	13
Feature:195.afa	21	0	10	127
Feature:459.afa	12	0	5	40
Feature:745.afa	4	0	1	6
Feature:135.afa	138	0	66	565
Feature:564.afa	3	0	2	16
Feature:836.afa	0	0	0	336
Feature:68.afa	4	0	3	18
Feature:338.afa	0	0	0	73
Feature:824.afa	3	0	0	4
Feature:323.afa	15	0	10	71
Feature:814.afa	35	0	21	175
Feature:279.afa	7	0	3	759
Feature:433.afa	33	0	12	103
Feature:474.afa	4	0	1	11
Feature:812.afa	35	0	24	112
Feature:51.afa	4	0	4	20
Feature:379.afa	0	0	0	20
Feature:19.afa	2	0	0	10
Feature:626.afa	12	0	8	33
Feature:535.afa	7	0	2	30
Feature:276.afa	6	0	1	19
Feature:848.afa	5	0	3	6
Feature:235.afa	5	0	2	28
Feature:618.afa	11	0	3	28
Feature:130.afa	8	0	4	26
Feature:628.afa	80	0	35	295
Feature:309.afa	3	0	0	9
Feature:15.afa	6	0	1	29
Feature:838.afa	66	0	24	238
Feature:74.afa	42	0	16	138
Feature:365.afa	127	0	56	510
Feature:631.afa	72	0	37	321
Feature:881.afa	5	0	0	9
Feature:72.afa	42	0	16	138
Feature:560.afa	101	0	56	435
Feature:233.afa	108	0	58	452
Feature:665.afa	2	0	2	12
Feature:521.afa	37	0	23	152
Feature:685.afa	16	0	6	60
Feature:286.afa	0	0	0	152
Feature:228.afa	29	0	20	136
Feature:773.afa	9	0	6	40
Feature:537.afa	8	0	5	38
Feature:868.afa	3	0	2	10
Feature:165.afa	7	0	1	15
Feature:740.afa	9	0	2	29
Feature:31.afa	40	0	21	154
Feature:247.afa	8	0	6	41
Feature:638.afa	8	0	2	17
Feature:698.afa	10	0	5	38
Feature:105.afa	3	0	0	6
Feature:876.afa	5	0	1	23
Feature:706.afa	3	0	0	13
Feature:397.afa	5	0	4	14
Feature:296.afa	10	0	4	88
Feature:428.afa	6	0	3	11
Feature:837.afa	66	0	24	238
Feature:604.afa	32	0	19	127
Feature:316.afa	7	0	1	11
Feature:344.afa	11	0	7	36
Feature:194.afa	2	0	0	5
Feature:546.afa	4	0	1	16
Feature:832.afa	4	0	1	8
Feature:490.afa	5	0	1	13
Feature:905.afa	5	0	2	11
Feature:128.afa	20	0	10	55
Feature:904.afa	5	0	2	19
Feature:355.afa	3	0	1	8
Feature:545.afa	4	0	1	16
Feature:394.afa	6	0	1	22
